date,referrer,count,uniques
2026-01-01,github.com,4,1
2026-01-01,statics.teams.cdn.office.net,2,2
2026-01-01,Google,1,1
2026-01-02,github.com,4,1
2026-01-02,statics.teams.cdn.office.net,2,2
2026-01-02,Google,1,1
2026-01-03,github.com,4,1
2026-01-03,statics.teams.cdn.office.net,2,2
2026-01-03,Google,1,1
2026-01-04,github.com,4,1
2026-01-04,statics.teams.cdn.office.net,2,1
2026-01-04,Bing,1,1
2026-01-04,Google,1,1
2026-01-05,github.com,4,1
2026-01-05,statics.teams.cdn.office.net,2,1
2026-01-05,Bing,1,1
2026-01-05,Google,1,1
2026-01-06,github.com,4,1
2026-01-06,statics.teams.cdn.office.net,2,1
2026-01-06,Bing,1,1
2026-01-06,Google,1,1
2026-01-07,github.com,10,2
2026-01-07,statics.teams.cdn.office.net,2,1
2026-01-07,Bing,1,1
2026-01-07,Google,1,1
2026-01-08,github.com,18,5
2026-01-08,statics.teams.cdn.office.net,2,1
2026-01-08,Bing,1,1
2026-01-09,github.com,19,6
2026-01-09,statics.teams.cdn.office.net,2,1
2026-01-09,Bing,1,1
2026-01-10,github.com,19,6
2026-01-10,statics.teams.cdn.office.net,2,1
2026-01-10,Bing,1,1
2026-01-10,Google,1,1
2026-01-11,github.com,19,6
2026-01-11,statics.teams.cdn.office.net,2,1
2026-01-11,Bing,1,1
2026-01-11,Google,1,1
2026-01-12,github.com,19,6
2026-01-12,statics.teams.cdn.office.net,2,1
2026-01-12,Bing,1,1
2026-01-12,Google,1,1
2026-01-13,github.com,19,6
2026-01-13,statics.teams.cdn.office.net,2,1
2026-01-13,Bing,1,1
2026-01-13,Google,1,1
2026-01-14,github.com,19,6
2026-01-14,Google,2,2
2026-01-14,Bing,1,1
2026-01-14,statics.teams.cdn.office.net,1,1
2026-01-15,github.com,15,6
2026-01-15,Google,4,3
2026-01-15,Bing,1,1
2026-01-15,statics.teams.cdn.office.net,1,1
2026-01-16,github.com,15,6
2026-01-16,Google,4,3
2026-01-16,Bing,1,1
2026-01-16,statics.teams.cdn.office.net,1,1
2026-01-17,github.com,16,7
2026-01-17,Google,4,3
2026-01-17,Bing,1,1
2026-01-17,statics.teams.cdn.office.net,1,1
2026-01-18,github.com,16,7
2026-01-18,Google,4,3
2026-01-19,github.com,16,7
2026-01-19,Google,4,3
